"REF_DATE","GEO","DGUID","New housing price indexes","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2012-11","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","97.4","","","","1"
"2012-12","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","97.4","","","","1"
"2013-01","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","97.5","","","","1"
"2013-02","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","97.9","","","","1"
"2013-03","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","97.9","","","","1"
"2013-04","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","98.4","","","","1"
"2013-05","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","98.6","","","","1"
"2013-06","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","98.6","","","","1"
"2013-07","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","99.0","","","","1"
"2013-08","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","99.0","","","","1"
"2013-09","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","99.1","","","","1"
"2013-10","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","99.1","","","","1"
"2013-11","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","99.1","","","","1"
"2013-12","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","99.1","","","","1"
"2014-01","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","99.0","","","","1"
"2014-02","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","99.0","","","","1"
"2014-03","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","99.1","","","","1"
"2014-04","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","99.1","","","","1"
"2014-05","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","99.1","","","","1"
"2014-06","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","99.0","","","","1"
"2014-07","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","98.9","","","","1"
"2014-08","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","98.9","","","","1"
"2014-09","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","99.0","","","","1"
"2014-10","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","99.0","","","","1"
"2014-11","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","99.1","","","","1"
"2014-12","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","99.1","","","","1"
"2015-01","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","99.1","","","","1"
"2015-02","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","99.3","","","","1"
"2015-03","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","99.3","","","","1"
"2015-04","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","99.3","","","","1"
"2015-05","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","99.3","","","","1"
"2015-06","Atlantic Region","2016A00011","Total (house and land)","Index, 201612=100","347","units ","0","v111955445","2.1","99.4","","","","1"
